year,text,href,google_file_id,source_url,export_url,local_path,file_size_bytes,download_status
2012,23-SECOND DRILL,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDZiS2NLbkZyZFNXejFIS3lxZ2NnM3c,0AvYg0iscP2vldDZiS2NLbkZyZFNXejFIS3lxZ2NnM3c,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDZiS2NLbkZyZFNXejFIS3lxZ2NnM3c,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldDZiS2NLbkZyZFNXejFIS3lxZ2NnM3c/export?format=xlsx,data/downloads/2012_23_second_drill_0AvYg0iscP2vldDZiS2NLbkZyZFNXejFIS3lxZ2NnM3c.xlsx,9536,skipped_exists
2012,F.A.T. 10-METER FLY,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldEU4SVRhdEY5a3ZwaU9fRTZnaThuSmc,0AvYg0iscP2vldEU4SVRhdEY5a3ZwaU9fRTZnaThuSmc,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldEU4SVRhdEY5a3ZwaU9fRTZnaThuSmc,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldEU4SVRhdEY5a3ZwaU9fRTZnaThuSmc/export?format=xlsx,data/downloads/2012_f_a_t_10_meter_fly_0AvYg0iscP2vldEU4SVRhdEY5a3ZwaU9fRTZnaThuSmc.xlsx,11071,skipped_exists
2012,F.A.T. 30 METER START,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldFdJbzR1bThSSnJROFJ6Sm5kejZQeWc,0AvYg0iscP2vldFdJbzR1bThSSnJROFJ6Sm5kejZQeWc,http://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldFdJbzR1bThSSnJROFJ6Sm5kejZQeWc,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldFdJbzR1bThSSnJROFJ6Sm5kejZQeWc/export?format=xlsx,data/downloads/2012_f_a_t_30_meter_start_0AvYg0iscP2vldFdJbzR1bThSSnJROFJ6Sm5kejZQeWc.xlsx,9731,skipped_exists
2013,23-SECOND DRILL,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldHN1aUY3M1VqdGpkdjdoNUgwTnViSGc&usp=sharing,0AvYg0iscP2vldHN1aUY3M1VqdGpkdjdoNUgwTnViSGc,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldHN1aUY3M1VqdGpkdjdoNUgwTnViSGc&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldHN1aUY3M1VqdGpkdjdoNUgwTnViSGc/export?format=xlsx,data/downloads/2013_23_second_drill_0AvYg0iscP2vldHN1aUY3M1VqdGpkdjdoNUgwTnViSGc.xlsx,9992,skipped_exists
2013,F.A.T. 10-METER FLY,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGsxcEs4MHU5MWNOZmZGR2FBZGpCQVE&usp=sharing,0AvYg0iscP2vldGsxcEs4MHU5MWNOZmZGR2FBZGpCQVE,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGsxcEs4MHU5MWNOZmZGR2FBZGpCQVE&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldGsxcEs4MHU5MWNOZmZGR2FBZGpCQVE/export?format=xlsx,data/downloads/2013_f_a_t_10_meter_fly_0AvYg0iscP2vldGsxcEs4MHU5MWNOZmZGR2FBZGpCQVE.xlsx,11686,skipped_exists
2013,F.A.T. 30 METER START,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDJVUlBNX1lGcHlXZUJYbW8tbWx3QXc&usp=sharing,0AvYg0iscP2vldDJVUlBNX1lGcHlXZUJYbW8tbWx3QXc,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDJVUlBNX1lGcHlXZUJYbW8tbWx3QXc&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldDJVUlBNX1lGcHlXZUJYbW8tbWx3QXc/export?format=xlsx,data/downloads/2013_f_a_t_30_meter_start_0AvYg0iscP2vldDJVUlBNX1lGcHlXZUJYbW8tbWx3QXc.xlsx,9989,skipped_exists
2014,23-SECOND DRILL,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDRldzJBWXloMFVGSkIyZEhvX2pTb2c&usp=sharing,0AvYg0iscP2vldDRldzJBWXloMFVGSkIyZEhvX2pTb2c,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldDRldzJBWXloMFVGSkIyZEhvX2pTb2c&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldDRldzJBWXloMFVGSkIyZEhvX2pTb2c/export?format=xlsx,data/downloads/2014_23_second_drill_0AvYg0iscP2vldDRldzJBWXloMFVGSkIyZEhvX2pTb2c.xlsx,10914,skipped_exists
2014,4x4 PREDICTOR RUN,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGtCTGJPTTFfNWZLa2tfdDdBU1dxN0E&usp=sharing,0AvYg0iscP2vldGtCTGJPTTFfNWZLa2tfdDdBU1dxN0E,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGtCTGJPTTFfNWZLa2tfdDdBU1dxN0E&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldGtCTGJPTTFfNWZLa2tfdDdBU1dxN0E/export?format=xlsx,data/downloads/2014_4x4_predictor_run_0AvYg0iscP2vldGtCTGJPTTFfNWZLa2tfdDdBU1dxN0E.xlsx,8706,skipped_exists
2014,5 x 40 AVG TIME,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGEwQktOR0p2M01kcmdRbUt1QllkS0E&usp=sharing,0AvYg0iscP2vldGEwQktOR0p2M01kcmdRbUt1QllkS0E,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldGEwQktOR0p2M01kcmdRbUt1QllkS0E&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldGEwQktOR0p2M01kcmdRbUt1QllkS0E/export?format=xlsx,data/downloads/2014_5_x_40_avg_time_0AvYg0iscP2vldGEwQktOR0p2M01kcmdRbUt1QllkS0E.xlsx,8738,skipped_exists
2014,F.A.T. 10-METER FLY,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldHRuVUwyNjJFdGdkczZLbEdlWHdwRHc&usp=sharing,0AvYg0iscP2vldHRuVUwyNjJFdGdkczZLbEdlWHdwRHc,https://docs.google.com/spreadsheet/ccc?key=0AvYg0iscP2vldHRuVUwyNjJFdGdkczZLbEdlWHdwRHc&usp=sharing,https://docs.google.com/spreadsheets/d/0AvYg0iscP2vldHRuVUwyNjJFdGdkczZLbEdlWHdwRHc/export?format=xlsx,data/downloads/2014_f_a_t_10_meter_fly_0AvYg0iscP2vldHRuVUwyNjJFdGdkczZLbEdlWHdwRHc.xlsx,12097,skipped_exists
